locatie;UN;Product;batch;aantal;verdiep
HI01103;000094743032;H000025889;980305A276;22.660;03
HI01103;000094743032;H000025889;980305A276;21.010;03
HI01103;000094743032;H000025889;980305A276;20.070;03
HI01103;000094743032;H000025889;980305A276;22.100;03
HI01103;000094743032;H000025889;980305A276;23.330;03
IH00200;000094781230;H000025889;980305A276;.060;00
HI00905;000094743034;H000025889;980305A278;21.920;05
HI00905;000094743034;H000025889;980305A278;21.220;05
HI00905;000094743034;H000025889;980305A278;21.700;05
HI00905;000094743034;H000025889;980305A278;23.970;05
HI00905;000094743034;H000025889;980305A278;21.470;05
HI00905;000094743034;H000025889;980305A278;21.780;05
HI01001;000094780568;H000025889;980305A276;21.010;01
HI01001;000094780568;H000025889;980305A276;23.020;01
HI01001;000094780568;H000025889;980305A276;22.290;01
HI01001;000094780568;H000025889;980305A276;22.970;01
HI01001;000094780568;H000025889;980305A276;23.210;01
HI01001;000094780568;H000025889;980305A276;22.580;01
HI00906;000094780571;H000025889;980305A278;23.440;06
HI00906;000094780571;H000025889;980305A278;21.570;06
HI00906;000094780571;H000025889;980305A278;23.560;06
HI00906;000094780571;H000025889;980305A278;16.930;06
HI00906;000094780571;H000025889;980305A278;24.140;06
HI00906;000094780571;H000025889;980305A278;23.510;06
IH00200;000094781260;H000025889;980305A278;.060;00
HJ00604;000094743033;H000025889;980305A277;21.290;04
HJ00604;000094743033;H000025889;980305A277;21.800;04
HJ00604;000094743033;H000025889;980305A277;21.660;04
HJ00604;000094743033;H000025889;980305A277;21.520;04
HJ00604;000094743033;H000025889;980305A277;23.740;04
HJ00604;000094743033;H000025889;980305A277;23.930;04
HI01003;000094743031;H000025889;980305A275;23.430;03
HI01003;000094743031;H000025889;980305A275;21.560;03
HI01003;000094743031;H000025889;980305A275;12.320;03
HI01003;000094743031;H000025889;980305A275;24.520;03
HI01003;000094743031;H000025889;980305A275;22.260;03
HI01003;000094743031;H000025889;980305A275;23.560;03
IH00200;000094781269;H000025889;980305A275;.060;00
HI01004;000094780584;H000025889;980305A275;23.250;04
HI01004;000094780584;H000025889;980305A275;24.570;04
HI01004;000094780584;H000025889;980305A275;22.320;04
HI01004;000094780584;H000025889;980305A275;24.210;04
HI01004;000094780584;H000025889;980305A275;22.770;04
HI01004;000094780584;H000025889;980305A275;21.020;04
IH00200;000094780797;H000025889;980305A285;.060;00
HI01105;000094780579;H000025889;980305A277;22.510;05
HI01105;000094780579;H000025889;980305A277;20.900;05
HI01105;000094780579;H000025889;980305A277;23.010;05
HI01105;000094780579;H000025889;980305A277;21.310;05
HI01105;000094780579;H000025889;980305A277;22.450;05
HI01105;000094780579;H000025889;980305A277;21.250;05
HI01102;000094743068;H000025889;980305A286;21.650;02
HI01102;000094743068;H000025889;980305A286;23.440;02
HI01102;000094743068;H000025889;980305A286;23.700;02
HI01102;000094743068;H000025889;980305A286;22.840;02
HI01102;000094743068;H000025889;980305A286;22.700;02
HI01102;000094743068;H000025889;980305A286;19.790;02
IH00200;000094780798;H000025889;980305A286;.060;00
HI01106;000094743036;H000025889;980305A280;24.480;06
HI01106;000094743036;H000025889;980305A280;24.950;06
HI01106;000094743036;H000025889;980305A280;22.320;06
HI01106;000094743036;H000025889;980305A280;21.470;06
HI01106;000094743036;H000025889;980305A280;23.580;06
HI01106;000094743036;H000025889;980305A280;23.090;06
HI01202;000094780594;H000025889;980305A285;23.470;02
HI01202;000094780594;H000025889;980305A285;22.850;02
HI01202;000094780594;H000025889;980305A285;21.760;02
HI01202;000094780594;H000025889;980305A285;22.800;02
HI01202;000094780594;H000025889;980305A285;22.070;02
HI01202;000094780594;H000025889;980305A285;23.210;02
HI01901;000094780596;H000025889;980305A280;22.920;01
HI01901;000094780596;H000025889;980305A280;23.140;01
HI01901;000094780596;H000025889;980305A280;8.070;01
HI01901;000094780596;H000025889;980305A280;23.950;01
HI01901;000094780596;H000025889;980305A280;22.420;01
HI01901;000094780596;H000025889;980305A280;21.540;01
IH00200;000094780792;H000025889;980305A280;.060;00
HI01203;000094780595;H000025889;980305A286;22.360;03
HI01203;000094780595;H000025889;980305A286;22.650;03
HI01203;000094780595;H000025889;980305A286;21.310;03
HI01203;000094780595;H000025889;980305A286;21.650;03
HI01203;000094780595;H000025889;980305A286;21.600;03
HI01203;000094780595;H000025889;980305A286;22.040;03
HI01104;000094743059;H000025889;980305A285;23.010;04
HI01104;000094743059;H000025889;980305A285;23.690;04
HI01104;000094743059;H000025889;980305A285;23.270;04
HI01104;000094743059;H000025889;980305A285;13.340;04
HI01104;000094743059;H000025889;980305A285;21.730;04
HI01104;000094743059;H000025889;980305A285;23.790;04
IH00200;000094781265;H000025889;980305A277;.060;00
HJ02801;000094933202;H000025889;980305B395;131.230;01
HJ02701;000094932359;H000025889;980305A356;136.320;01
HL01103;000094932385;H000025889;980305A356;129.150;03
HL01106;000094932384;H000025889;980305A355;140.900;06
HJ01406;000094932358;H000025889;980305A355;136.290;06
HJ02205;000094933136;H000025889;980305A325;136.020;05
HJ02203;000094933133;H000025889;980305A295;127.180;03
HJ00904;000094933141;H000025889;980305B327;136.340;04
HJ00906;000094933143;H000025889;980305B365;132.350;06
HJ02202;000094933118;H000025889;980305B325;129.060;02
HJ02403;000094933119;H000025889;980305B326;131.620;03
HJ01102;000094933139;H000025889;980305B325;136.190;02
HJ02204;000094933116;H000025889;980305A342;136.720;04
HJ02106;000094933142;H000025889;980305B328;130.160;06
HJ02103;000094933134;H000025889;980305A323;126.390;03
